Egy	FR0.25T	FR0.25T corrected	FR0.5T	FR0.5T corrected	FR0.75T	FR0.75T corrected	FR1T	FR1T corrected	FR1.2T	FR1.2T corrected	FR1.4T	FR1.4T corrected
2.1956	-0.0087603	0.0085372	-0.0081934	-0.011259	-0.0069573	8.2952E-4	0.0019922	-0.0015276	-0.0025524	-0.001632	-0.0046091	-0.0044897
2.1945	-0.012287	0.0050109	-0.0068603	-0.0099258	-0.010633	-0.0028461	-0.0019351	-0.0054549	-0.0047847	-0.0038644	-0.0045204	-0.004401
2.1934	-0.010345	0.0069526	-0.011626	-0.014691	-0.011626	-0.0038392	-5.5712E-4	-0.004077	-0.0049023	-0.003982	-0.0049318	-0.0048124
2.1923	-0.011645	0.0056529	-0.0098056	-0.012871	-0.012174	-0.0043869	-0.0046553	-0.0081751	-0.0062508	-0.0053305	-0.0064531	-0.0063337
2.1913	-0.015051	0.0022463	-0.010912	-0.013977	-0.011261	-0.0034746	-6.8767E-4	-0.0042075	-0.0072849	-0.0063645	-0.0053774	-0.005258
2.1902	-0.011211	0.0060865	-0.0090127	-0.012078	-0.0082357	-4.4891E-4	-0.0028579	-0.0063778	-0.0033674	-0.0024471	-0.0041833	-0.0040639
2.1891	-0.013731	0.0035662	-0.0088795	-0.011945	-0.0095212	-0.0017344	-0.0026269	-0.0061468	-0.0064126	-0.0054923	-0.0036931	-0.0035737
2.188	-0.012517	0.0047806	-0.0091646	-0.01223	-0.011416	-0.003629	0.0012253	-0.0022945	-0.0032082	-0.0022879	-3.0988E-4	-1.9051E-4
2.187	-0.012523	0.0047743	-0.007054	-0.01012	-0.0097048	-0.0019179	8.7672E-4	-0.0026431	-0.0015159	-5.9556E-4	-0.0018178	-0.0016984
2.1859	-0.01331	0.0039872	-0.0089731	-0.012039	-0.012502	-0.0047148	-0.003106	-0.0066258	-0.005759	-0.0048386	-0.0042808	-0.0041614
2.1848	-0.0089601	0.0083374	-0.0044169	-0.0074824	-0.006736	0.0010508	0.0047822	0.0012624	4.4935E-4	0.0013697	0.0016264	0.0017458
2.1837	-0.012848	0.0044497	-0.0079115	-0.010977	-0.0088402	-0.0010533	8.0903E-4	-0.0027108	-0.0058108	-0.0048904	-8.9791E-4	-7.7854E-4
2.1827	-0.013189	0.0041082	-0.011773	-0.014839	-0.012162	-0.0043748	-0.0012138	-0.0047336	-0.0066456	-0.0057253	-0.0010714	-9.5208E-4
2.1816	-0.0076912	0.0096063	-0.0056256	-0.0086911	-0.0065692	0.0012176	0.0021555	-0.0013643	-7.548E-4	1.6555E-4	0.0026427	0.002762
2.1805	-0.01236	0.0049374	-0.0065857	-0.0096512	-0.011694	-0.0039074	0.0010994	-0.0024204	-0.0026345	-0.0017141	-0.0031706	-0.0030513
2.1795	-0.015545	0.0017529	-0.0089892	-0.012055	-0.013698	-0.0059111	-0.0012814	-0.0048012	-0.0045919	-0.0036716	-0.006487	-0.0063677
2.1784	-0.014184	0.0031138	-0.009788	-0.012854	-0.011297	-0.0035102	-0.0019627	-0.0054825	-0.0039929	-0.0030726	-0.0049229	-0.0048035
2.1773	-0.01445	0.0028471	-0.0094444	-0.01251	-0.014539	-0.0067522	-0.0027969	-0.0063167	-0.0061101	-0.0051898	-0.0046176	-0.0044982
2.1763	-0.015599	0.0016986	-0.010608	-0.013674	-0.01201	-0.0042234	-0.0014914	-0.0050112	-0.0062329	-0.0053125	-0.0034326	-0.0033132
2.1752	-0.0099497	0.0073478	-0.0017048	-0.0047703	-0.0068035	9.8335E-4	0.0076241	0.0041043	1.3973E-4	0.0010601	0.0012983	0.0014176
2.1742	-0.015902	0.0013957	-0.0097832	-0.012849	-0.013684	-0.0058974	-5.6789E-4	-0.0040877	-0.0038755	-0.0029552	-0.0027692	-0.0026499
2.1731	-0.014729	0.0025681	-0.0075937	-0.010659	-0.01212	-0.0043329	-0.0012645	-0.0047843	-0.0053305	-0.0044101	-6.8854E-4	-5.6917E-4
2.172	-0.010501	0.0067966	-0.0046074	-0.0076729	-0.005699	0.0020878	0.0052981	0.0017782	5.1579E-4	0.0014361	0.002309	0.0024284
2.171	-0.017294	3.349E-6	-0.011951	-0.015017	-0.011128	-0.0033416	-0.0024745	-0.0059944	-0.0068451	-0.0059247	-0.0062331	-0.0061137
2.1699	-0.012592	0.0047057	-0.0057292	-0.0087947	-0.01074	-0.0029535	-4.3863E-4	-0.0039585	-0.0035211	-0.0026008	-7.352E-4	-6.1582E-4
2.1689	-0.01542	0.0018773	-0.0096063	-0.012672	-0.013698	-0.0059116	-8.1653E-5	-0.0036015	-0.0081349	-0.0072146	-0.0044826	-0.0043632
